link,nces_id,link_proc
http://www.facebook.com/pages/avondale-elementary-school-district-44/466495056724455,0400960,pages/avondale-elementary-school-district-44/466495056724455
https://www.facebook.com/skylineed?ref=hl,0400785,skylineed
https://www.facebook.com/baboeducation,0403950,baboeducation
https://www.facebook.com/babocollegeandcareer/,0403950,babocollegeandcareer
https://www.facebook.com/dobson-academy-202820136457920/,0400184,dobson-academy-202820136457920
https://www.facebook.com/balszdistrict/,0401050,balszdistrict
https://www.facebook.com/basisscottsdale/,0400608,basisscottsdale
https://www.facebook.com/basisov/,0400818,basisov
https://www.facebook.com/greatschools,0400898,greatschools
https://www.facebook.com/basised,0400903,basised
https://www.facebook.com/mybellcanyon,0400374,mybellcanyon
https://www.facebook.com/bfcsaz/,0400065,bfcsaz
https://www.facebook.com/benson-unified-school-district-535209686539131/,0400212,benson-unified-school-district-535209686539131
https://www.facebook.com/bisbeeusd1,0401180,bisbeeusd1
https://www.facebook.com/blue-ridge-unified-school-district-32-102721964605115,0406580,blue-ridge-unified-school-district-32-102721964605115
https://www.facebook.com/blueprinteducation,0400636,blueprinteducation
https://www.facebook.com/brightbeginningsschool,0400071,brightbeginningsschool
https://www.facebook.com/buhsd/,0401410,buhsd
https://www.facebook.com/buhshs/,0401410,buhshs
https://www.facebook.com/estrellafoothills/,0401410,estrellafoothills
https://www.facebook.com/youngkerhs/,0401410,youngkerhs
https://www.facebook.com/buhsdlc/,0401410,buhsdlc
https://www.facebook.com/learning-foundation-and-performing-arts-alta-mesa-319390768510837/,0400796,learning-foundation-and-performing-arts-alta-mesa-319390768510837
https://www.facebook.com/lfpagilbert/,0400796,lfpagilbert
https://www.facebook.com/learningfoundationbacktobasics/,0400796,learningfoundationbacktobasics
https://www.facebook.com/lfpawarnercampus,0400796,lfpawarnercampus
http://facebook.com/calibre.surprise/,0400310,calibre.surprise
https://www.facebook.com/candeopeoria/,0400758,candeopeoria
https://www.facebook.com/rosemanagementgroup,0400633,rosemanagementgroup
https://www.facebook.com/casaacademy/,0400915,casaacademy
https://www.facebook.com/cguhsdistrict/?modal=admin_todo_tour,0401740,cguhsdistrict
http://www.facebook.com/cfsd16,0401760,cfsd16
https://www.facebook.com/cavecreekusd/,0400001,cavecreekusd
https://www.facebook.com/challengerbasicschool/,0400359,challengerbasicschool
https://www.facebook.com/chandlerprep/,0400440,chandlerprep
https://www.facebook.com/pages/chinle-unified-school-district/103230399732842,0401940,pages/chinle-unified-school-district/103230399732842
https://www.facebook.com/enewsaz/,0400003,enewsaz
http://www.facebook.com/atachoice,0400805,atachoice
https://www.facebook.com/ciceroprep/,0400900,ciceroprep
https://www.facebook.com/cityccl/,0400407,cityccl
https://www.facebook.com/pages/paulo-freire-freedom-school-downtown/150471965132480,0400407,pages/paulo-freire-freedom-school-downtown/150471965132480
https://www.facebook.com/pages/paulo-freire-freedom-school-university/150436168468903,0400407,pages/paulo-freire-freedom-school-university/150436168468903
https://www.facebook.com/cityhighschooltucson,0400407,cityhighschooltucson
https://www.facebook.com/clarkdalejeromerams/,0400004,clarkdalejeromerams
https://www.facebook.com/clarkdale-jerome-school-323343833723/,0400004,clarkdale-jerome-school-323343833723
https://www.facebook.com/arizonacollegeprep,0400862,arizonacollegeprep
https://www.facebook.com/compasshs,0400330,compasshs
https://www.facebook.com/pages/northpoint-expeditionary-learning-academy/119674604748112,0400820,pages/northpoint-expeditionary-learning-academy/119674604748112
https://www.facebook.com/concho-elementary-school-district-6-102034384553126/?scrlybrkr,0402190,concho-elementary-school-district-6-102034384553126
https://www.facebook.com/concordia-charter-school-184203708282869/,0400751,concordia-charter-school-184203708282869
https://www.facebook.com/coolidgeschools/,0402320,coolidgeschools
http://www.facebook.com/cornerstonecharterschool,0400405,cornerstonecharterschool
http://www.facebook.com/pages/cgcs1/163910756989328,0400429,pages/cgcs1/163910756989328
https://www.facebook.com/1cplc,0400382,1cplc
https://www.facebook.com/pages/crane-school-district/468724553200769,0402400,pages/crane-school-district/468724553200769
https://www.facebook.com/createacademy/?fref=ts,0400938,createacademy
https://www.facebook.com/creightonelementaryschooldistrict/?ref=bookmarks,0402430,creightonelementaryschooldistrict
https://www.facebook.com/paragonscienceacademy/,0400778,paragonscienceacademy
https://www.facebook.com/daisyearlylearning/,0400778,daisyearlylearning
http://www.facebook.com/sonoranschools,0400778,sonoranschools
http://facebook.com/dvusd,0407750,dvusd
https://www.facebook.com/arizonawaldorf/,0400439,arizonawaldorf
https://www.facebook.com/douglas-unified-school-district-27-1525193084372467/,0402530,douglas-unified-school-district-27-1525193084372467
https://www.facebook.com/dysartusd,0402690,dysartusd
https://www.facebook.com/eastpointehs/,0400261,eastpointehs
https://www.facebook.com/edgehsaz/,0400078,edgehsaz
https://www.facebook.com/edkeyschools,0400244,edkeyschools
https://www.facebook.com/scazdl,0400157,scazdl
https://www.facebook.com/sequoiapathwayacademy/,0400904,sequoiapathwayacademy
https://www.facebook.com/pages/eduprize-schools/145806142128636,0400746,pages/eduprize-schools/145806142128636
https://www.facebook.com/pages/evergreen-school-district/223853231002741,0402790,pages/evergreen-school-district/223853231002741
https://www.facebook.com/empowercollegeprep/,0400877,empowercollegeprep
https://www.facebook.com/espirituschools/,0400052,espirituschools
https://www.facebook.com/reyesmariaruiz/?ref=bookmarks,0400052,reyesmariaruiz
https://www.facebook.com/aimhighercollegeprep/,0400052,aimhighercollegeprep
https://www.facebook.com/nflyet/,0400052,nflyet
https://www.facebook.com/pages/teamcfa-charter-schools/328518463931058?ref=ts&fref=ts,0400942,pages/teamcfa-charter-schools/328518463931058
https://www.facebook.com/groups/1727966290792255/about/,0400019,groups/1727966290792255/about
https://www.facebook.com/pages/flagstaff-arts-leadership-academy/214023221222,0400019,pages/flagstaff-arts-leadership-academy/214023221222
//www.facebook.com/flagstaff-unified-school-district-181692968582220/,0402860,flagstaff-unified-school-district-181692968582220
https://www.facebook.com/florencecrittentonofarizona/?fref=ts,0400144,florencecrittentonofarizona
https://www.facebook.com/florenceusd/,0402920,florenceusd
https://www.facebook.com/flowingwellsschools,0403010,flowingwellsschools
https://www.facebook.com/flowingwellshighschool/,0403010,flowingwellshighschool
https://www.facebook.com/flowingwellsunifiedschooldistrict/,0403010,flowingwellsunifiedschooldistrict
